 ,HOSPITAL GROUP,ADDRESS,CITY,STATE,Capacity,REMARK,NO. TELEPHONE,Website,Doctor Directory,Beds,Baby Cots,BedsBaby Cots,Bassinets,Dialysis Chairs,Dental Chairs,ArmChairs,Phototherapy Cots,Mobile Dialysis Device,BedsDialisis,Beds BloodDonor,MonoplaceHyperbaric Chamber, Baby CotsFototerapi
Maria Hospital,-,"Wisma Maria, Jalan Ngee Heng, Bandar Johor Bahru, 80100 Johor Bahru, Johor",Johor Bahru,JOHOR,-,,07-2243888,https://www.mariahospital.com/,https://www.mariahospital.com/our-specialists.html,0,0,0,0,0,0,0,0,0,0,0,0,0
T.K. Tan O&G Specialist Clinic,-,"2, Jalan Sri Perkasa 1/5, Taman Tampoi Utama, 81200",Johor Bahru,JOHOR,-,,07-2411100,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Kluang Utama Specialist Hospital,-,"No. 1, Susur 1, Jalan Besar, 86000 Kluang, Johor",Kluang,JOHOR,-,,07-7718999,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Pusat Pakar Perbidanan & Sakitpuan Raja,-,"988, J24, 84000 Muar, Johor",Muar,JOHOR,-,,07-9522224,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Tey Maternity Specialist & Gynae Centre,-,"21, Jalan Sulaiman, 84000 Muar, Johor",Muar,JOHOR,-,,07-9329187,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Penawar,Kumpulan Perubatan Penawar,"No. 1519, Business Center, 81700 Pasir Gudang, Johor",Pasir Gudang,JOHOR,-,,07-2521800,http://www.hospitalpenawar.com/,http://www.hospitalpenawar.com/?page_id=25,0,0,0,0,0,0,0,0,0,0,0,0,0
C.S. Koh and Maternity Home,-,"32 & 32A, Taman Ungku Tun Aminah, Jalan Shah Bandar 2, 81300 Johor Bahru, Johor",Skudai,JOHOR,-,,07-5569669/07- 5560436,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Pakar Skudai(Skudai Surgical Centre (M) Sdn. Bhd.),-,"No. 5 & 7, Jalan Ronggeng 2, Taman Skudai Baru, Skudai, Johor Bahru",Skudai,JOHOR,6 Beds,Single discipline: Pembedahan Am,-,-,-,6,0,0,0,0,0,0,0,0,0,0,0,0
INS Specialist Centre Sdn. Bhd.,-,"640-641, Jalan Pintu Sepuluh, 05100 Alor Setar, Kedah",Alor Setar,KEDAH,"20 Beds, 12 Bassinets",-,-,-,-,20,0,0,12,0,0,0,0,0,0,0,0,0
Putra Centre,-,"888, Jalan Sekerat, Off Jalan Putra, 05100 Alor Setar, Kedah",Alor Setar,KEDAH,"162 Beds, 5 Bassinets, 3 Baby CotsFototerapi, 9 Dialysis Chairs Dan 3 Dental Chairs",-,-,-,-,162,3,0,5,9,3,0,0,0,0,0,0,0
Kedah Centre,-,"Pumpong, 05250 Alor Star, Kedah",Alor Star,KEDAH,"160 Beds, 4 Baby Cots, 8 Bassinets, 18 Dialysis Chairs",-,-,-,-,160,4,0,8,18,0,0,0,0,0,0,0,0
MAHSURI MEDICAL CENTRE (MMC)(Naiktaraf Dari Rumah Bersalin),-,"No. 1, 2 & 3, Jalan Mahsuri, 1c, Bandar Baru Darulaman, 06000 Jitra, Kedah",Jitra,KEDAH,"6 Beds, 4 Baby Cots, 4 Bassinets",-,-,-,-,6,4,0,4,0,0,0,0,0,0,0,0,0
Metro Hospital,-,"No 1, Lorong Metro, 08000 Sungai Petani, Kedah",Sungai Petani,KEDAH,"102 Beds, 8 Bassinets,15 Dialysis Chairs, 1 Dental Chairs, 1 Mobile MesinDialisis",-,-,-,-,102,0,0,8,15,1,0,0,1,0,0,0,0
Wisma PakarPerbidanan Dan Sakit Puan,-,"10, Lorong 17, TamanPetani Jaya, 08000 Sungai Petani, Kedah",Sungai Petani,KEDAH,4 Beds Dan 4 Bassinets,Single discipline: O&G,-,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
INS Specialist Centre Sdn Bhd,-,"641, Jalan Pintu Sepuluh, 05100 Alor Setar, Kedah",Alor Setar,KEDAH,-,,04-7318120,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahsuri Medical Centre,-,"Jalan Mahsuri 1C, Bandar Baru Darulaman, 06000 Jitra, Kedah",Jitra,KEDAH,-,,04-9162345,http://mmckedah.com.my/,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Metro Specialist Hospital,-,"1, Lorong Metro, 08000 Sungai Petani, Kedah",Sungai Petani,KEDAH,-,,04-4238888,https://www.hospitalmetro.com/,https://www.hospitalmetro.com/physician.php,0,0,0,0,0,0,0,0,0,0,0,0,0
Pusat Perubatan An-Nisa' (An-Nisa' Medical Centre),-,"JKR 284, Jalan Sultan Ibrahim, Bandar Kota Bharu, 15050 Kota Bahru, Kelantan",Kota Bharu,KELANTAN,-,,09-7414444,https://www.annisa.com.my/,https://www.annisa.com.my/doktor-kami/,0,0,0,0,0,0,0,0,0,0,0,0,0
Kota Bharu Medical Centre,-,"Pt 179 - 184, Jalan SultanYahya Petra, 15150Lundang, Kelantan",Lundang,KELANTAN,"40 Beds, 10 Bassinets",-,09-7433399,-,-,40,0,0,10,0,0,0,0,0,0,0,0,0
Putra Specialist Hospital (Melaka),-,"169, Jalan Bendahara, Pengkalan Rama, 75100 Melak",Jalan Bendahara,MELAKA,"220 Beds, 6 Bassinets, 9 Baby Cots, 6 Phototherapy Cots, 19 Dialysis Chairs, 2 Mobile Dialysis Device",-,06-2835888,https://psh-group.com/putra/,https://psh-group.com/putra/specialties/,220,9,0,6,19,0,0,6,2,0,0,0,0
Mahkota Medical Centre,Health Management International Pte Ltd (HMI Group),"3, Mahkota Melaka, Jalan Merdeka, 75000 Melaka",Jalan Merdeka,MELAKA,"305 Beds, 12 BedsDialisis, 2 Baby Cots, 11 Bassinets, 6 Dental Chairs, 2 Mobile Dialysis Device",-,06-2852999,https://www.mahkotamedical.com/,https://www.mahkotamedical.com/find-a-doctor/,305,2,0,11,0,6,0,0,2,12,0,0,0
Oriental MelakaStraits Medical Centre,Oriental Holdings Berhad,"Pusat Perubatan Klebang, 75200 Melaka",Pusat Perubatan Klebang,MELAKA,"173 Beds, 4 Baby Cots, 6 Bassinets, 2 Dental Chairs",-,-,-,-,173,4,0,6,0,2,0,0,0,0,0,0,0
Salam Senawang Specialist Hospital,Senawang Indah Medical Centre,"No. 234-243, JalanLavender Heights 2, Lavender Business Square, 70450 Senawang, Negeri Sembilan",Senawang,NEGERI SEMBILAN,100 Beds/6 Bassinets,-,06-6751188,https://www.salamsenawang.com/index,https://docs.google.com/gview?embedded=true&url=https://pagevamp-uploads.s3.amazonaws.com/426846354021298/pdfs/1643187576-salam-senawang-corporate-slide.pdf,100,0,0,6,0,0,0,0,0,0,0,0,0
CMH Specialist Hospital,-,"Lot 3900, Jalan Tun Dr. Ismail, 70200 Seremban, Negeri Sembilan",Seremban,NEGERI SEMBILAN,62 Beds / 24 Dialysis Chairs / 5 Bassinets,-,06-7631688,https://www.cmhspecialist.my/,https://www.cmhspecialist.my/our-doctors/,62,0,0,5,24,0,0,0,0,0,0,0,0
Mawar Medical Centre,-,"No. 71, Jalan Rasah, 70300 Seremban, Negeri Sembilan",Seremban,NEGERI SEMBILAN,"30 Beds, 44 Dialysis Chairs",-,-,-,-,30,0,0,0,44,0,0,0,0,0,0,0,0
Aurelius Hospital Nilai,Aurelius Healthcare,Pt 13717 Jalan BBN 2/1 71800 Nilai Negeri Sembilan,Nilai,NEGERI SEMBILAN,"84 Beds, 4 ArmChairs, 4 Bassinets",-,06-8500999,https://www.aureliushealth.com/nilai/,https://www.nilaimc.com/our-consultants/,84,0,0,4,0,0,4,0,0,0,0,0,0
Mawar Renal Medical Centre,-,"Bukit Rasah, 70300 Seremban, Negeri Sembilan",Seremban,NEGERI SEMBILAN,-,,06-7647048,https://mawarmedical.com/,https://mawarmedical.com/index.php/doctor-specialist,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Bersalin Sukhilmi,-,"No. 1-G, 1-1, 3-1, 5-G, 5-1,7-1, Jalan Coco Drive 3, Taman Bandar Senawang, Senawang, 70450Seremban, Negeri Sembilan",Seremban,NEGERI SEMBILAN,4 Beds/4 Bassinets,Single discipline: O&G,-,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
KMI Kuantan Medical Centre,KMI Healthcare Group,"Jalan Tun Razak, Bandar Indera Mahkota, 25200 Kuantan, Pahang",Kuantan,PAHANG,"176 Beds, 6 Bassinets, 2 Baby CotsFototerapi, 5 Dialysis Chairs",-,09-5142828,https://kmihealthcare.com/en/kmikuantan,https://kmihealthcare.com/en/kmikuantan/doctors,176,2,0,6,5,0,0,0,0,0,0,0,0
Darul MakmurMedical Centre Sdn. Bhd.,-,"B2-B60, Jalan Kempadang Makmur, TamanKempadang Makmur, 26060 Kuantan, Pahang",Kuantan,PAHANG,"42 Beds, 10 Baby Cots, 8 Bassinets",-,-,-,-,42,10,0,8,0,0,0,0,0,0,0,0,0
IIUM Medical Specialist Centre (IMSC),IIUM,"Kulliyyah Of Medicine, International Islamic University Malaysia, Indera Mahkota, 25200 Kuantan, Pahang",Kuantan,PAHANG,"345 Beds, 6 Baby Cots, 6 Bassinets, 7 ArmChairs, 4 Dialysis Chairs",-,-,-,-,345,6,0,6,4,0,7,0,0,0,0,0,0
Pahang Medical Centre,Aurelius Healthcare,"Lot 1, 3, 5 & 7 Wisma MUIP,Jalan Gambut 25000, Kuantan Pahang",Jalan Gambut,PAHANG,"64 Beds, 5 Bassinets",-,-,-,-,64,0,0,5,0,0,0,0,0,0,0,0,0
Darul Makmur Medical Centre,-,"Jalan Kempadang Makmur, Taman Kempadang Makmur, 26060 Kuantan, Pahang",Kuantan,PAHANG,-,,09-5349988,https://www.dmmc.com.my/,https://www.dmmc.com.my/mod/specialization/,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Fatimah,0,"No.1,Leboh Chew Peng Loon, Off Jalan Dato' Lau Pak Khuan,Ipoh Garden,31400 Ipoh,Perak",Ipoh,PERAK,"236 Beds, 10 Baby Cots,23 Dialysis Chairs, 8 ArmChairs",-,05-5455777,https://www.fatimah.com.my/,https://www.fatimah.com.my/our-doctors/,236,10,0,0,23,0,8,0,0,0,0,0,0
Perak Community Specialist Hospital,0,"No. 277, Jalan Raja Permaisuri Bainun, 30250 Ipoh, Perak",Ipoh,PERAK,"69 Beds, 5 Baby Cots, 8 Bassinets, 18 Dialysis Chairs",-,05-2545594,https://pcsh.com.my/pcsh/,https://pcsh.com.my/pcsh/#,69,5,0,8,18,0,0,0,0,0,0,0,0
Hospital Ar- Ridzuan,0,"A-1, B-G-3 & B-G-5, B-1-1 &B-1-3, Greentown Suria, Jalan DatoÃ¢â‚¬â„¢ Seri Ahmad Said, 30450 Ipoh, Perak",Ipoh,PERAK,"6 Beds, 5 Bassinets,20 Dialysis Chairs",-,-,-,-,6,0,0,5,20,0,0,0,0,0,0,0,0
KMC Medical Centre,0,"20a, Jalan Chung Thye Phin, 30250 Ipoh, Perak",Ipoh,PERAK,"46 Beds, 10 Bassinets",-,-,-,-,46,0,0,10,0,0,0,0,0,0,0,0,0
Klinik Bersalin Yasmin,0,"No. 27 - 28, Persiaran Venice Sutera 1, Desa Manjung Raya, 32200 Lumut, Perak",Lumut,PERAK,"2 Beds, 2 Bassinets",Single discipline: O&G,-,-,-,2,0,0,2,0,0,0,0,0,0,0,0,0
Sejati Maternity & Specialist Centre,0,"No. 20, Taman Sejati 1,32000 Setiawan, Perak",Setiawan,PERAK,2 Beds/ 2 Bassinets,Single discipline: O&G,-,-,-,2,0,0,2,0,0,0,0,0,0,0,0,0
Apollo Medical Centre,0,"271, Jalan Taming Srai, 34000 Taiping, Perak",Taiping,PERAK,16 Beds,-,05-8056000,-,-,16,0,0,0,0,0,0,0,0,0,0,0,0
Anson Bay Medical Centre,0,"Lot 992, Batu 3 1/2, Jalan Maharajalela,36000 Teluk Intan, Perak Darul Ridzuan",Teluk Intan,PERAK,"71 Beds, 4 Baby Cots, 5 Bassinets, 10 Dialysis Chairs",-,-,-,-,71,4,0,5,10,0,0,0,0,0,0,0,0
Jendarata Group Hospital,0,"Jendarata Estate, 36009 Teluk Intan, Perak",Teluk Intan,PERAK,18 Beds,-,-,-,-,18,0,0,0,0,0,0,0,0,0,0,0,0
Kinta Medical Centre,0,"20, Jalan Chung Thye Phin, Taman Chateau, 30250 Ipoh, Negeri Perak",Ipoh,PERAK,-,,05-2425333,https://www.kmc.com.my/,https://www.kmc.com.my/our-doctors/,0,0,0,0,0,0,0,0,0,0,0,0,0
UniKL Rcmp Medical Centre,0,"10A, 10C, Jalan Labrooy, Taman Pari, 30100 Ipoh, Perak",Ipoh,PERAK,-,,05-5066111,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Pusat Pakar Permata Raoofah,0,"No. 37, 39 Dan 41, Lengkuk Kledang RayaTaman Kledang Jaya, Taman Kledang Jaya, Jalan Jelapang 30100 Ipoh, Perak",Jalan Jelapang Ipoh,PERAK,8 Beds/8 Bassinets/1 Baby Cots,-,-,-,-,8,1,0,8,0,0,0,0,0,0,0,0,0
Pusat Pakar Rajindar Singh,0,"20F, Jalan Changkat Jong, 36000 Teluk Intan, Negeri Perak",Teluk Intan,PERAK,-,,05-6211112,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernam River Ulu Group Hospital,0,"Ulu Bernam Estate, Ulu Bernam 36500, Perak",Ulu Bernam,PERAK,20 Beds,Single discipline: Perubatan Am,-,-,-,20,0,0,0,0,0,0,0,0,0,0,0,0
KS Wan & Liow Specialist Maternity Centre Sdn Bhd,0,"No.17 & 19, Lorong Tembikai 6, Pusat Komersial Sri Rambai, 14000 Bukit Mertajam,Pulau Pinang",Bukit Mertajam,PULAU PINANG,4 Beds/4 Bassinets,Single discipline: O&G,-,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
Bagan Specialist Centre,0,"Jalan Bagan Satu, 13400 Butterworth, Pulau Pinang",Butterworth,PULAU PINANG,"153 Beds, 3 ArmChairs, 10 Baby Cots, 10 Bassinets",-,04-3322800,https://www.bagan.com.my/,http://www.bagan.com.my/consultant,153,10,0,10,0,0,3,0,0,0,0,0,0
Georgetown Specialist Hospital,0,"No. 12-A, Jalan Masjid Negeri, 11600 Georgetown, Pulau Pinang",Georgetown,PULAU PINANG,"20 Beds, 6 Dialysis Chairs",-,04 - 827 5118,https://georgetownspecialist.com/,https://georgetownspecialist.com/consultant/,20,0,0,0,6,0,0,0,0,0,0,0,0
Peace Medical Centre,0,"81, Lorong Selamat, 10400 Georgetown, Pulau Pinang",Georgetown,PULAU PINANG,4 Beds / 4 Bassinets,Single discipline: O&G,04-228 2472,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
Island Hospital,0,"No. 308, Jalan Macalister, 10450 Georgetown, Pulau Pinang",Georgetown,PULAU PINANG,"295 Beds, 5ArmChairs, 4 Bassinets, 4 Baby Cots, 10 Dialysis Chairs",-,04-2288222,https://islandhospital.com/,https://islandhospital.com/find-a-doctor/,295,4,0,4,10,0,5,0,0,0,0,0,0
Hope Children Hospital Ã¢â‚¬â€œ Gottlieb,0,"25B, C&D, Jalan Gottlieb, 10350 Georgetown, Pulau Pinang",Georgetown,PULAU PINANG,10 Beds,Single discipline: Pediatrik,-,-,-,10,0,0,0,0,0,0,0,0,0,0,0,0
Questra Bio- Clinical Research Centre,0,"No 6, Jalan Desa Pauh, Taman Desa Pauh, 13500 Permatang Pauh, PulauPinang",Permatang Pauh,PULAU PINANG,20 Beds,Single discipline: Penyelidikan Klinikal,-,-,-,20,0,0,0,0,0,0,0,0,0,0,0,0
DBM Hospital,0,"No 18 & 20, Jalan Cermai 1, Taman Cermai, Jalan Sama Gagah Permatang Pauh, 13500 Seberang Perai, Pulau Pinang",Seberang Perai,PULAU PINANG,4 Beds & 4 Bassinets,Single discipline: O&G,-,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
Mount Miriam Cancer Hospital,0,"23, Jalan Bulan, Fettes Park, 11200 Tanjung Bungah, Pulau Pinang",Tanjung Bungah,PULAU PINANG,40 Beds,-,04-8923999,https://mountmiriam.com/,https://mountmiriam.com/our-specialist/,40,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Kebajikan Kek Lok Si,0,"No. 623, Jalan Balik Pulau, Ayer Itam, 11500 PulauPinang",Ayer Itam,PULAU PINANG,"22 Beds, 6 Dialysis Chairs",-,-,-,-,22,0,0,0,6,0,0,0,0,0,0,0,0
Hope Children Hospital (Sungai Ara),0,"Ground floor, 66 & 68, Jalan Dato Ismail Hashim, Kampung Manggis, 11900 Bayan Lepas, Penang",Bayan Lepas,PULAU PINANG,-,,04-6447557,https://www.hopechildrenhospital.com/,https://www.hopechildrenhospital.com/meet-our-doctors,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanjung Medical Centre,0,"473, Jalan Burma, George",Burmah Road,PULAU PINANG,-,,04-2262323,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Penang Eye Specialist Hospital,0,"No. 223, Jalan Masjid Negeri, 11600 George Town, Pulau Pinang",George Town,PULAU PINANG,-,,04 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ 282 3522,https://www.optimax2u.com/penang.php,https://www.optimax2u.com/doctors.php,0,0,0,0,0,0,0,0,0,0,0,0,0
Kek Lok Si Charitable Hospital,0,0,Georgetown,PULAU PINANG,-,,-,https://m.klsch.my/,https://m.klsch.my/index.php?ws=pages&pages_id=17798,0,0,0,0,0,0,0,0,0,0,0,0,0
Optimax Eye Specialist Hospital (Penang),0,"Tingkat Bawah, No. 223,Jalan Masjid Negeri 11600 Georgetown, Pulau Pinang",Georgetown,PULAU PINANG,4 Beds,Single discipline: Oftalmologi,-,-,-,4,0,0,0,0,0,0,0,0,0,0,0,0
Penang Adventist Hospital,0,"465, Jalan Burma, 10350 Pulau Pinang",Jalan Burma,PULAU PINANG,"263 Beds, 10 Baby Cots,16 Bassinets, 27 Dialysis Chairs, 11 Beds BloodDonor, 16 Dental Chairs, 19 ArmChairs",-,04-2227200/04-226 1133,https://pah.com.my/,https://pah.com.my/doctors,263,10,0,16,27,16,19,0,0,0,11,0,0
Hope Children Hospital (Jalan Gottlieb),0,"Taman Selamat, 10350 George Town, Penang",Jalan Gottlieb,PULAU PINANG,-,,04-2286557,https://www.hopechildrenhospital.com/,https://www.hopechildrenhospital.com/meet-our-doctors,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospital Lam Wah Ee,0,"141, Jalan Tan Sri Teh Ewe Lim, 11600 Pulau Pinang",Jalan Tan Sri Teh Ewe Lim,PULAU PINANG,"417 Beds, 10 Baby Cots,20 Bassinets, 25Dialysis Chairs, 5 Dental Chairs",-,04-6571888,https://www.hlwe.com.my/,https://www.hlwe.com.my/find_a_doctor.php,417,10,0,20,25,5,0,0,0,0,0,0,0
Loh Guan Lye Specialists Centre,0,"19 & 21, Logan Road Dan238, Macalister Road,10400 Pulau Pinang",Macalister Road,PULAU PINANG,"205 Beds, 31 Baby Cots,7 Bassinets, 13 Dialysis Chairs, 17 ArmChairs, 3 Dental Chairs",-,04-2388888,http://www.lohguanlye.com/,http://www.lohguanlye.com/our-specialists.php,205,31,0,7,13,3,17,0,0,0,0,0,0
Jesselton Medical Centre Sdn. Bhd.,0,"Metro Town, Jalan Bunga Ulam Raja, Jalan Lintas, Off Jalan Tuaran, 88300 Kota Kinabalu, Sabah",Kota Kinabalu,SABAH,"42 Beds, 10 Bassinets",-,-,-,-,42,0,0,10,0,0,0,0,0,0,0,0,0
Kota Kinabalu Specialist Centre,0,"25, Kota Kinabalu Specialist Centre, Taman Luyang, Phase 8, Jalan Kolam,88300 Kota Kinabalu, Sabah",Kota Kinabalu,SABAH,4 Beds / 4 Bassinets,Single discipline: O&G,-,-,-,4,0,0,4,0,0,0,0,0,0,0,0,0
Rafflesia Medical Centre Sdn. Bhd.,0,"Lot 4-8, Millenium Commercial Centre, Off Jalan Lintas, 88200 Kota Kinabalu, Sabah",Kota Kinabalu,SABAH,19 Beds / 1 Baby Cots/4 Bassinets,-,-,-,-,19,1,0,4,0,0,0,0,0,0,0,0,0
KMI Tawau Medical Centre (Tawau Specialist Hospital),0,"TB 4551, Jalan Abaca, 91000 Tawau, Sabah",Tawau,SABAH,"7 Beds, 3 Bassinets",-,-,-,-,7,0,0,3,0,0,0,0,0,0,0,0,0
Tawau Specialist Medical Centre Sabah Sdn. Bhd.,0,"No. 3680-3692, Tanah Lot 107525664-107525780,Tinagat Plaza Mile 2.5, Jalan Bunga Raya, Off Jalan Apas, 91000 Tawau, Sabah",Tawau,SABAH,"52 Beds, 6 Bassinets",-,-,-,-,52,0,0,6,0,0,0,0,0,0,0,0,0
Rafflesia Medical Centre,0,"Lots 5-8, Millennium Commercial Centre, Jalan Lintas, Kepayan Penampang, 88200 Kota Kinabalu, Sabah, 88200",Kota Kinabalu,SABAH,-,,088-272620,https://www.rafflesiamedicalcentre.com/,https://www.rafflesiamedicalcentre.com/resident-consultant/,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesselton Medical Centre,0,"Jalan Metro 2, Metro Town Off, Jalan Lintas, 88300 Kota Kinabalu, Sabah",Kota Kinabalu,SABAH,-,,088-366333,https://jmc.my/,https://jmc.my/consultants.php,0,0,0,0,0,0,0,0,0,0,0,0,0
Utama Medical Centre,0,"Lot 16 Ã¢â‚¬â€œ 20, Blok B1, Utama Place, Phase 5, Batu 6,Jalan Utara, 90000Sandakan, Sabah",Sandakan,SABAH,"6 Beds, 3 Bassinets",-,-,-,-,6,0,0,3,0,0,0,0,0,0,0,0,0
Bintulu Medical Centre,0,"Lot 6009, Block 31, Kemena Land District, 97000 Bintulu, Sarawak",Bintulu,SARAWAK,"58 Beds, 5 Bassinets, 7 Dialysis Chairs, 2 Dental Chairs",-,086-330333,https://www.bintulumedicalcentre.com/,https://www.bintulumedicalcentre.com/our-doctors/,58,0,0,5,7,2,0,0,0,0,0,0,0
Normah Medical Specialist Centre,0,"Lot 937, Section 30, Ktld, Jalan Tun Abdul Rahman Yakub, Petra Jaya, 93050 Kuching, Sarawak",Kuching,SARAWAK,"70 Beds, 3 Baby Cots, 3 Bassinets,22 Dialysis Chairs, 1 Dental Chairs",-,082-440055,https://www.normah.com.my/,https://www.normah.com.my/our-hospital/our-doctors,70,3,0,3,22,1,0,0,0,0,0,0,0
Timberland Medical Centre,0,"Lot 5160-5169 & 7477-7486, Block 16, KCLD, 2Ã‚Â½Mile, Jalan Rock, 93250 Kuching, Sarawak",Kuching,SARAWAK,"82 Beds, 6 Bassinets, 6 Baby Cots, 14Dialysis Chairs, 1Mobile Dialysis Device",-,082-234466,https://www.timberlandmedical.com/,https://www.timberlandmedical.com/doctors/,82,6,0,6,14,0,0,0,1,0,0,0,0
Borneo Medical Centre,0,"Lot 10992, Section 64, Kuching Town Land District, Jalan Tun Jugah, 93350 Kuching, Sarawak.",Kuching,SARAWAK,"80 Beds, 6 Bassinets, 2 Baby Cots, 10 Dialysis ChairsDan 3 Dental Chairs",-,082-507333,http://www.borneomedicalcentre.com/en/,http://www.borneomedicalcentre.com/en/resident-consultant/,80,2,0,6,10,3,0,0,0,0,0,0,0
Borneo Medical Centre (Miri),0,"Lot 1959, Block 10, MCLD,Jalan Cahaya, Off Jalan Miri-Bintulu, 98000 Miri, Sarawak",Miri,SARAWAK,"66 Beds, 5 Dialysis Chairs, 4 Bassinets, 3 Dental Chairs",-,-,-,-,66,0,0,4,5,3,0,0,0,0,0,0,0
Rejang Medical Centre,0,"Ground Floor, No. 27, 29 & 31, 1st & 2nd Floor, No. 21, 23, 25, 27, 29, 31, 33, 35 &37, Jalan Pedada, 96000 Sibu, Sarawak",Sibu,SARAWAK,49 Beds/1 Baby Cots/9 Bassinets/15 Dialysis Chairs,-,084-323333,https://rejang.com.my/,http://rejang.com.my/our-doctors/,49,1,0,9,15,0,0,0,0,0,0,0,0
Sibu Specialist Medical Centre,0,"No. 52a-G, Brooke Drive, 96000 Sibu, Sarawak",Sibu,SARAWAK,"34 Beds, 1 Baby Cots, 4 Bassinets",-,-,-,-,34,1,0,4,0,0,0,0,0,0,0,0,0
Miri City Medical Centre,0,"916-920 & 1203, JalanHokkien, 98000 Sarawak",JalanHokkien,SARAWAK,"22 Beds, 1 Baby Cots, 3 Bassinets",-,085-426622,https://www.mcmcmiri.com/,https://www.mcmcmiri.com/specialists,22,1,0,3,0,0,0,0,0,0,0,0,0
Helen Ngu Women Hospital,0,"Tingkat 1 Dan 2, No. 251, Lot 2579, Central Park Commercial Centre, 3rd Mile, 93200 Kuching",rd Mile,SARAWAK,3 Beds,Single discipline: Ginekologi,-,-,-,3,0,0,0,0,0,0,0,0,0,0,0,0
Pusat Perubatan Joe (Klinik WanitaDan Kanak-Kanak),0,"3G & 5G, Jalan Wawasan 4/1, Bandar Baru Ampang, 68000 Ampang, Selangor",Ampang,SELANGOR,2 Beds / 4 Bassinets,Single discipline: O&G,-,-,-,2,0,0,4,0,0,0,0,0,0,0,0,0
Hospital Islam Az- Zahrah,0,"No. 24, 26, 28, 30, 32 & 34,Medan Pusat Bandar 1, Seksyen 9, 43650 Bandar Baru Bangi, Selangor",Bandar Baru Bangi,SELANGOR,"43 Beds, 6 Bassinets",-,-,-,-,43,0,0,6,0,0,0,0,0,0,0,0,0
Hospital Pakar An- Nur Specialist Hospital,0,"Jalan Gerbang Wawasan 1, Seksyen 15, 43650 Bandar Baru Bangi, Selangor",Bandar Baru Bangi,SELANGOR,"102 Beds, 6 Baby Cots, 1 Phototherapy Cots, 22 Bassinets, 8 Dialysis Chairs",-,-,-,-,102,6,0,22,8,0,0,1,0,0,0,0,0
Britannia Women Specialist Centre,0,"No. 65-67, Aras Bawah, Aras 1 Dan Aras 2, Jalan Tks 1, Taman Kajang Sentral, 43000 Kajang, Selangor",Kajang,SELANGOR,12 Beds/8 Bassinets,Single discipline: O&G,-,-,-,12,0,0,8,0,0,0,0,0,0,0,0,0
Sungai Long Specialist Hospital,0,"Lot Pt 21147, Persiaran Sungai Long 1, BandarSungai Long, 43000 Kajang, Selangor Darul Ehsan",Kajang,SELANGOR,"46 Beds, 4 Bassinets",-,-,-,-,46,0,0,4,0,0,0,0,0,0,0,0,0
JMC Specialist Medical Centre,0,"No 80, Jalan Telok Gadong, Di Persiaran Raja Muda Musa, 41100 Klang, Selangor",Klang,SELANGOR,22 Beds Dan 8 Bassinets,Single discipline: O&G,03-33726333,https://www.jmcmedicalcentre.com/,-,22,0,0,8,0,0,0,0,0,0,0,0,0
Sentosa Specialist Hospital,0,"No.25, 27 & 29, Lorong Temenggung 15 A Dan No. 2, 4, & 6, Lorong Temenggung 15D, Off Jalan Sungai Jati, 41200 Klang, Selangor",Klang,SELANGOR,"49 Beds, 1 Baby Cots, 3 Bassinets",-,03-51619232,https://www.sshmedicare.com/,http://www.sshmedicare.com/doctors/,49,1,0,3,0,0,0,0,0,0,0,0,0
Bukit Tinggi Medical Centre,0,"Lot 83211, Persiaran Batu Nilam, Bandar Bukit Tinggi, Mukim Tinggi, 41200 Klang, Selangor",Klang,SELANGOR,"171 Beds, 1 Baby Cots,18 Bassinets, 2 Dental Chairs, 10 Dialysis Chairs",-,-,-,-,171,1,0,18,10,2,0,0,0,0,0,0,0
Hospital Bersalin Razif,0,"No. 33, 35, 37 & 39, Jalan Sri Sarawak 20a/Ks2, Taman Sri Andalas, 41200 Klang, Selangor",Klang,SELANGOR,13 Beds/10 Bassinets,Single discipline: O&G,-,-,-,13,0,0,10,0,0,0,0,0,0,0,0,0
