Name,Link,Speciality Title,Speciality Appointment,Designation,Qualification,link,hospital
Dr. Habibah Binti Abdul Halim,doctors/dr.-habibah-binti-abdul-halim,Internal Medicine and Hematology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=956&searchPhyAndSpec=Dr. Habibah Binti Abdul Halim&hcsType=Specialty,Consultant Internal Medicine Physician & Hematologist,"BA (UK), MA (UK), MBBCh (UK), MRCP (UK), FRCPATH (Hematology)(UK), Fellowship in Hematology (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Harjeet Singh Puran Singh,doctors/dr.-harjeet-singh-puran-singh,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=273&searchPhyAndSpec=Dr. Harjeet Singh Puran Singh&hcsType=Specialty,Consultant Orthopedic & Arthroscopic Surgeon,"MBBS (India), MS (Orthopedics) (UKM), MRCS (Edinburgh), Fellowship in Orthopedic Sports Medicine & Arthroscopy (Germany), CMIA (NIOSH)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Indirani A/P Batumalay,doctors/dr.-indirani-a~p-batumalay,Ear Nose and Throat,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=969&searchPhyAndSpec=Dr. Indirani A%252FP Batumalay&hcsType=Specialty,Consultant ENT Surgeon,"MBBS(India), M ORL- HNS (UM), Fellowship in Rhinology (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Izazul Bin Hussin,doctors/dr.-izazul-bin-hussin,,,Consultant Interventional Radiologist,"MD (UKM), MMed (Radiology) (UKM), Fellowship in Interventional Radiology (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Jayendran Dharmaratnam,doctors/dr.-jayendran-dharmaratnam,Oncology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=435&searchPhyAndSpec=Dr. Jayendran Dharmaratnam&hcsType=Specialty,Consultant Clinical Oncologist,"MBBS (India), FFR.RCSI (Radiotherapy) (Ireland)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Jeyasilan A/L Karpudewan,doctors/dr.-jeyasilan-a~l-karpudewan,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=516218083296&searchPhyAndSpec=Dr. Jeyasilan A%252FL Karpudewan&hcsType=Specialty,"Consultant Orthopedic, Hand & Micro Surgeon (Visiting)","MBBS (India), MMed (Orhtopedic)(USM), Fellowship in Upper Limb & Microsurgery (Malaysia), Fellowship in Wrist Surgery and Upper Limb Arthroscopy (Argentina & USA)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Kalaiselvi A/P Munusamy,doctors/dr.-kalaiselvi-a~p-munusamy,,,Medical Officer,MBBS (Manipal),/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Kamaljeet Singh Jaharan Singh,doctors/dr.-kamaljeet-singh-jaharan-singh,Sports Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=327&searchPhyAndSpec=Dr. Kamaljeet Singh Jaharan Singh&hcsType=Specialty,Consultant Sports Physician (Visiting),"MBBS (India), M Sport Medicine (UM)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Kananathan A/L Ratnavelu,doctors/dr.-kananathan-a~l-ratnavelu,Oncology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=4237&searchPhyAndSpec=Dr. Kananathan A%252FL Ratnavelu&hcsType=Specialty,Consultant Medical Oncologist,"MBBS (UM), FRCP (Ireland), AM (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Khairul Anuar Bin Jamaludin,doctors/dr.-khairul-anuar-bin-jamaludin,Ear Nose and Throat,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=149&searchPhyAndSpec=Dr. Khairul Anuar Bin Jamaludin&hcsType=Specialty,Consultant ENT - Head & Neck Surgeon,"MBBS (UM), MS (ORL-HNS) (UKM)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Kuan Woon Pang,doctors/dr.-kuan-woon-pang,Internal Medicine and Rheumatology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=275&searchPhyAndSpec=Dr. Kuan Woon Pang&hcsType=Specialty,Consultant Internal Medicine Physician & Rheumatologist,"MD (Canada), MRCP (UK)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Kulendran Sivapragasam,doctors/dr.-kulendran-sivapragasam,Urology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=282&searchPhyAndSpec=Dr. Kulendran Sivapragasam&hcsType=Specialty,Consultant Urologist,"MBBS (India), MS (General Surgery) (UKM), Fellowship in Urology (Australia), Board Certified Urologist (Malaysia), FRCS (Urology) (Glasgow), Fellowship in Urology (Australia), FMAS, AM (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Lim Kok Chong,doctors/dr.-lim-kok-chong,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=296&searchPhyAndSpec=Dr. Lim Kok Chong&hcsType=Specialty,Consultant Pediatrician,"MD (UKM), MRCPCH (UK)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Loo Suat Chin,doctors/dr.-loo-suat-chin,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=270&searchPhyAndSpec=Dr. Loo Suat Chin&hcsType=Specialty,Consultant Obstetrician & Gynecologist,"MBBS (India), MRCOG (UK)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Mohan Ramachandran,doctors/dr.-mohan-ramachandran,Cardiology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=150&searchPhyAndSpec=Dr. Mohan Ramachandran&hcsType=Specialty,Consultant Interventional Cardiologist,"MD (USM), MRCP (UK), Fellowship in Cardiology (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Muhammad Syamil Bin Mohamad Salmi,doctors/dr.-muhammad-syamil-bin-mohamad-salmi,Ophthalmology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=517342363069&searchPhyAndSpec=Dr. Muhammad Syamil Bin Mohamad Salmi&hcsType=Specialty,Consultant Ophthalmologist,"MBBS (Jordan), Doctor of Ophthalmology (UKM)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Nabeela Binti Azmi,doctors/dr.-nabeela-binti-azmi,,,Consultant Emergency Physician,"MBBCH BAO (Ireland), MMed (Emergency Medicine) (UM)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Navin Francis A/L Susinadan,doctors/dr.-navin-francis-a~l-susinadan,Internal Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=4067&searchPhyAndSpec=Dr. Navin Francis A%252FL Susinadan&hcsType=Specialty,Consultant Palliative Care Physician (Visiting),"MMed (Internal Medicine)(UM), Fellowship in Training in Palliative Care Medicine (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Nitiyanantam A/L Perremal,doctors/dr.-nitiyanantam-a~l-perremal,General Practice and Occupational Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=292&searchPhyAndSpec=Dr. Nitiyanantam A%252FL Perremal&hcsType=Specialty,Chief Medical Officer & Occupational Health Doctor,"MBBS (Mal), LFOM (Ireland), MBA Healthcare Management (IMU)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Pakirisamy Baskaran,doctors/dr.-pakirisamy-baskaran,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=140&searchPhyAndSpec=Dr. Pakirisamy Baskaran&hcsType=Specialty,Consultant Obstetrician & Gynecologist (Visiting),"MBBS (Madras), MOG (UM)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Radhamani Rajakumar,doctors/dr.-radhamani-rajakumar,Internal Medicine and Endocrinology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=467615666944&searchPhyAndSpec=Dr. Radhamani Rajakumar&hcsType=Specialty,Consultant Internal Medicine Physician & Endocrinologist,"MD (UNIMAS), MRCP (UK), Fellowship in Endocrinology (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Rama Krishna Kumar Krishnamurthy,doctors/dr.-rama-krishna-kumar-krishnamurthy,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=272&searchPhyAndSpec=Dr. Rama Krishna Kumar Krishnamurthy&hcsType=Specialty,Consultant Obstetrician & Gynecologist,"MBBS (India), M Obs & Gyn (UM)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Rushil Rajan,doctors/dr.-rushil-rajan,,,Medical Officer,MBBS (Mal),/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Rushin A/L Maria Dass,doctors/dr.-rushin-a~l-maria-dass,Anesthesiology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=987&searchPhyAndSpec=Dr. Rushin A%252FL Maria Dass&hcsType=Specialty,Consultant Anesthesiologist,"MD (UNIMAS), M Anesthesiology (UM), Fellowship in Pain Management (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Saiful Akhtar Shamsuddin,doctors/dr.-saiful-akhtar-shamsuddin,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=274&searchPhyAndSpec=Dr. Saiful Akhtar Shamsuddin&hcsType=Specialty,Consultant Orthopedic Surgeon,"MBBS (UM), MS (Orthopedics) (UKM), Fellowship in Lower Limb Arthroplasty & Reconstruction (Australia), CMIA (NIOSH)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Senthil Vasan A/L Kanthasamy,doctors/dr.-senthil-vasan-a~l-kanthasamy,General Surgery and Colorectal Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=782&searchPhyAndSpec=Dr. Senthil Vasan A%252FL Kanthasamy&hcsType=Specialty,Consultant General and Colorectal Surgeon (Visiting),"MBBS (India), M Surgery (UM), Fellowship in Colorectal Surgery (Malaysia & Thailand)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Sivabalan R. Somasundram,doctors/dr.-sivabalan-r.-somasundram,General Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=298&searchPhyAndSpec=Dr. Sivabalan R. Somasundram&hcsType=Specialty,Consultant General Surgeon,"MBBS (India), FRCS (Ireland)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. T Kalaiselvam A/L Thevandran,doctors/dr.-t-kalaiselvam-a~l-thevandran,Internal Medicine and Nephrology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=349&searchPhyAndSpec=Dr. T Kalaiselvam A%252FL Thevandran&hcsType=Specialty,Consultant Internal Medicine Physician & Nephrologist,"BSc (Medical Science)(UPM), MD (UPM), MRCP (UK), ISN - ANIO Nephropathology Certificate (USA), MSN Board Certified Nephrologist (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Tan Swee Looi,doctors/dr.-tan-swee-looi,Internal Medicine and Hematology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=519697804208&searchPhyAndSpec=Dr. Tan Swee Looi&hcsType=Specialty,Consultant Internal Medicine Physician & Hematologist (Visiting),"MBBS (UM), MRCP (UK), CMIA (NIOSH), PG Med Law (UK)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Tan Yee Ling,doctors/dr.-tan-yee-ling,General Surgery Breast and Endocrine Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=769&searchPhyAndSpec=Dr. Tan Yee Ling&hcsType=Specialty,Consultant General Surgeon - Breast & Endocrine (Visiting),"MBBS (India), Doctor of General Surgery (UKM), Fellowship in Breast & Endocrine Surgery (MOH), FEBS (Breast Surgery)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Teeba A/P Raja,doctors/dr.-teeba-a~p-raja,Dermatology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=4123&searchPhyAndSpec=Dr. Teeba A%252FP Raja&hcsType=Specialty,Consultant Dermatologist (Visiting),"Advanced Master of Dermatology(UKM), Fellowship in Dermatology(UKM), SCE Dermatology (UK)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Teng Hie Ching,doctors/dr.-teng-hie-ching,,,Consultant Radiologist,"MBBS (UM), M Radiology (UM)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Thamilvaanan A/L R Rajendran,doctors/dr.-thamilvaanan-a~l-r-rajendran,,,Medical Officer,MBBS (India),/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Vickneswaren Thever Ramasamy,doctors/dr.-vickneswaren-thever-ramasamy,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=468438573118&searchPhyAndSpec=Dr. Vickneswaren Thever Ramasamy&hcsType=Specialty,Consultant Obstetrician & Gyneoncologist,"MBBS (India), MMed (Obs & Gyn) (USM), Fellowship in Gyne-Oncology (Malaysia)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Wan Aliaa Binti Wan Sulaiman,doctors/dr.-wan-aliaa-binti-wan-sulaiman,Internal Medicine and Neurology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=681&searchPhyAndSpec=Dr. Wan Aliaa Binti Wan Sulaiman&hcsType=Specialty,Consultant Internal Medicine Physician & Neurologist (Visiting),"BMedSc (Hons)(Ireland), MBBCh BAO (Ireland), LRCP & SI (Ireland), MRCP (UK), Master of Research in Clinical Science (UK), Fellowship in Neurology (Malaysia), FRCP (Edinburgh)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Wong Soon Li,doctors/dr.-wong-soon-li,,,Consultant Radiologist,"MBBS (India), MMed (Radiology) (UKM)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Yee Sze–voon,doctors/dr.-yee-sze–voon,Neurosurgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=488778354747&searchPhyAndSpec=Dr. Yee Sze–voon&hcsType=Specialty,Consultant Neurosurgeon,"MD (RSMU), MS (Neurosurgery) (USM), Fellowship in Pain Management (India), CMIA (NIOSH)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Yong Lai Peng,doctors/dr.-yong-lai-peng,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=6&searchLocation=Bukit Rimau&phyID=278&searchPhyAndSpec=Dr. Yong Lai Peng&hcsType=Specialty,Consultant Pediatrician,"MBBS (UM), MRCPCH (UK)",/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Zul Zarihi Bin Zainal,doctors/dr.-zul-zarihi-bin-zainal,,,Consultant Anesthesiologist,Doctor of Anesthesiology & Critical Care (UKM),/malaysia/hospitals/bukit-rimau/doctors,bukit-rimau
Dr. Ariz Chong Bin Abdullah @ Chong Chee Yong,doctors/dr.-ariz-chong-bin-abdullah-@-chong-chee-yong,Neurosurgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=475332126238&searchPhyAndSpec=Dr. Ariz Chong Bin Abdullah @ Chong Chee Yong&hcsType=Specialty,Consultant Neurosurgeon,"MS Neurosurgery (USM), CMIA (NIOSH), Member of International AOSpine",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Ashok A/L Krishnan,doctors/dr.-ashok-a~l-krishnan,Pediatric Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=4081&searchPhyAndSpec=Dr. Ashok A%252FL Krishnan&hcsType=Specialty,Consultant Pediatric Surgeon (Visiting),"MD (Russia), M Pediatrics Surgery (UM), Fellowship in Pediatric Surgery (UK)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Asokumaran A/L Moorthy,doctors/dr.-asokumaran-a~l-moorthy,,,Medical Officer,MD SCMU,/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Aswadi Mohd Arif,doctors/dr.-aswadi-mohd-arif,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=869&searchPhyAndSpec=Dr. Aswadi Mohd Arif&hcsType=Specialty,Consultant Orthopedic Surgeon,"MBBS (UM), MS Ortho(UKM), CMIA Fellowship in Joint Arthroplasty (GER)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Azhan Ismail,doctors/dr.-azhan-ismail,Ear Nose and Throat,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=874&searchPhyAndSpec=Dr. Azhan Ismail&hcsType=Specialty,"Consultant ENT, Head & Neck Surgeon","M.D. (USM), M.Med ORL (USM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Azhar Napis,doctors/dr.-azhar-napis,Pediatrics,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=898&searchPhyAndSpec=Dr. Azhar Napis&hcsType=Specialty,Consultant Pediatrician,"MD (UKM), MRCPCH (UK)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Chan Yee Kit,doctors/dr.-chan-yee-kit,,,Medical Officer,MBBS (Manipal),/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Chooi Wai Kit,doctors/dr.-chooi-wai-kit,Orthopedic,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=868&searchPhyAndSpec=Dr. Chooi Wai Kit&hcsType=Specialty,Consultant Orthopedic Surgeon,"MBBS (UM), AM (Mal), Master of Orthopedic Surgery (UMI), Fellowship in Spine Surgery (Sgpore)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Dhanan Umadevan,doctors/dr.-dhanan-umadevan,Cardiology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=938&searchPhyAndSpec=Dr. Dhanan Umadevan&hcsType=Specialty,Consultant Interventional Cardiologist,"MD (USM), MRCP (UK), Interventional Cardiology IJN (Malaysia), CBCCT (USA), OHD NIOSH (Malaysia)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Dimitraj Maniam,doctors/dr.-dimitraj-maniam,Internal Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=872&searchPhyAndSpec=Dr. Dimitraj Maniam&hcsType=Specialty,Consultant Internal Medicine Physician,"MBBS (UM), MRCP (UK)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Gobinath A/L Palani Gondi,doctors/dr.-gobinath-a~l-palani-gondi,,,Medical Officer & Occupational Health Doctor,MD (Indonesia),/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Goh Boon Ser,doctors/dr.-goh-boon-ser,Internal Medicine,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=904&searchPhyAndSpec=Dr. Goh Boon Ser&hcsType=Specialty,Consultant Internal Medicine Physician,"MBBS (IMU), MRCP (UK)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Guek Tai Yan,doctors/dr.-guek-tai-yan,Internal Medicine and Neurology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=883&searchPhyAndSpec=Dr. Guek Tai Yan&hcsType=Specialty,Consultant Internal Medicine Physician & Neurologist (Special Interest in Stroke),"MD (USM), MRCP (UK), Fellowship in Neurology (Malaysia)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Hew Yin Cheng,doctors/dr.-hew-yin-cheng,,,Consultant Radiologist,"MBBS (UM), M Radiology (UM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Hezrin Nazlin Mohamed,doctors/dr.-hezrin-nazlin-mohamed,Obstetrics and Gynecology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=448525735052&searchPhyAndSpec=Dr. Hezrin Nazlin Mohamed&hcsType=Specialty,Consultant Obstetrician & Gynecologist,"MBBch.BAO (Ireland), MRCOG (UK)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Kerwin Teoh Tze Phin,doctors/dr.-kerwin-teoh-tze-phin,General Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=944&searchPhyAndSpec=Dr. Kerwin Teoh Tze Phin&hcsType=Specialty,Consultant General Surgeon,"MBBS (IMU), MRCS (Ireland), M. Med. Surgery (USM), AM (Malaysia)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Kharlina Khairudin,doctors/dr.-kharlina-khairudin,General Surgery and Hepatobiliary,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=4374&searchPhyAndSpec=Dr. Kharlina Khairudin&hcsType=Specialty,Consultant General & Hepatobiliary Surgeon (Visiting),"MMed (GenSurg) (UKM), Fellowship in Hepatopancreatobiliary Surgery (HPB) (Malaysia)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Latha R Selvarajah,doctors/dr.-latha-r-selvarajah,Dermatology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=945&searchPhyAndSpec=Dr. Latha R Selvarajah&hcsType=Specialty,Consultant Dermatologist (Visiting),"M.D. (UM), MRCP (Ire)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Lee Yeong Ji,doctors/dr.-lee-yeong-ji,,,Consultant Radiologist,"MD(UPM), M.MED RAD (UKM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Lim Teck Chin,doctors/dr.-lim-teck-chin,Urology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=870&searchPhyAndSpec=Dr. Lim Teck Chin&hcsType=Specialty,Consultant Urological Surgeon,"M.B.Ch.B (Glasgow), FRCS (Ireland), FRCS (Glasgow), AM (Mal)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Lim Wei Tat,doctors/dr.-lim-wei-tat,,,Consultant Anesthesiologist,"MBBS (AIMST), M Anesthesiology (UM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Ling Kiet Phang,doctors/dr.-ling-kiet-phang,Ophthalmology,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=2783&searchPhyAndSpec=Dr. Ling Kiet Phang&hcsType=Specialty,Consultant Ophthalmologist (Visiting),"MBBS (UM), MD (OPHTHALMOLOGY) (UKM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Mohammed Faizal Hashim,doctors/dr.-mohammed-faizal-hashim,,,Consultant Obstetrician & Gynecologist (Visiting),"MBBS (UM), MMed (Obs & Gyn)(UKM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Mohd Ashraf Bin Zulkurnain,doctors/dr.-mohd-ashraf-bin-zulkurnain,,,Consultant Anesthesiologist & Intensivist,"MBBS, MMed Anaes (UKM), Fellowship in Intensive Care (Malaysia)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Muthualhagi A/P Vellusamy,doctors/dr.-muthualhagi-a~p-vellusamy,Pediatric Surgery,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=3912&searchPhyAndSpec=Dr. Muthualhagi A%252FP Vellusamy&hcsType=Specialty,Consultant Pediatric Surgeon (Visiting),"MBBS (India), MS (General Surgery) (UKM), Fellowship in Pediatric Surgery (Malaysia & Australia)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Najdah Binti Othman,doctors/dr.-najdah-binti-othman,,,Medical Officer,MBBS (USIM),/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Nazurah Binti Abdul Wahab,doctors/dr.-nazurah-binti-abdul-wahab,,,Medical Officer,MD (Indonesia),/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Ng Sow Mei,doctors/dr.-ng-sow-mei,,,Consultant Anesthesiologist,"MD (USM), M Anesthesiology (UM)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
Dr. Nor Rahidah Abd Rahim,doctors/dr.-nor-rahidah-abd-rahim,Psychiatry,https://malaysiaportal.columbiaasia.com/webconnect/#/bookAppointment/%3Flocation=22&searchLocation=Iskandar Puteri&phyID=2781&searchPhyAndSpec=Dr. Nor Rahidah Abd Rahim&hcsType=Specialty,Consultant Child and Adolescent Psychiatrist (Visiting),"MD (UKM), MMed (Psychiatry) (UKM), Fellowship in Child & Adolescent Psychiatry (Malaysia)",/malaysia/hospitals/iskandar-puteri/doctors,iskandar-puteri
